date,day_of_week,is_weekend,week_of_month
2025-07-01,Tuesday,False,1
2025-07-02,Wednesday,False,1
2025-07-03,Thursday,False,1
2025-07-04,Friday,False,1
2025-07-05,Saturday,True,1
2025-07-06,Sunday,True,1
2025-07-07,Monday,False,1
2025-07-08,Tuesday,False,2
2025-07-09,Wednesday,False,2
2025-07-10,Thursday,False,2
2025-07-11,Friday,False,2
2025-07-12,Saturday,True,2
2025-07-13,Sunday,True,2
2025-07-14,Monday,False,2
2025-07-15,Tuesday,False,3
2025-07-16,Wednesday,False,3
2025-07-17,Thursday,False,3
2025-07-18,Friday,False,3
2025-07-19,Saturday,True,3
2025-07-20,Sunday,True,3
2025-07-21,Monday,False,3
2025-07-22,Tuesday,False,4
2025-07-23,Wednesday,False,4
2025-07-24,Thursday,False,4
2025-07-25,Friday,False,4
2025-07-26,Saturday,True,4
2025-07-27,Sunday,True,4
2025-07-28,Monday,False,4
2025-07-29,Tuesday,False,5
2025-07-30,Wednesday,False,5
2025-07-31,Thursday,False,5
